"model","iteration","corr_iter","MAF","gen"
"RF",5,0.236256288582366,0.05,"F2"
"RF",6,0.261961018716336,0.05,"F2"
"RF",7,0.225275534554015,0.05,"F2"
"RF",8,0.265229822932731,0.05,"F2"
"RF",9,0.243084514437377,0.05,"F2"
"RF",10,0.245525822857256,0.05,"F2"
"RKHS",1,0.24470326361492,0.05,"F2"
"RKHS",2,0.238758967776988,0.05,"F2"
"RKHS",3,0.246580537623478,0.05,"F2"
"RKHS",4,0.242198029209278,0.05,"F2"
"RKHS",5,0.246533016910326,0.05,"F2"
"RKHS",6,0.239953186481628,0.05,"F2"
"RKHS",7,0.245705819470844,0.05,"F2"
"RKHS",8,0.241754126895431,0.05,"F2"
"RKHS",9,0.244424378449365,0.05,"F2"
"RKHS",10,0.242436963540893,0.05,"F2"
"BB",1,0.232235982535713,0.05,"all"
"BB",2,0.22843063283264,0.05,"all"
"BB",3,0.230833962440126,0.05,"all"
"BB",4,0.2333858182911,0.05,"all"
"BB",5,0.232956326634649,0.05,"all"
"BB",6,0.233604385750326,0.05,"all"
"BB",7,0.230453417140835,0.05,"all"
"BB",8,0.231521687998313,0.05,"all"
"BB",9,0.236340062279893,0.05,"all"
"BB",10,0.230899133668181,0.05,"all"
"BRR",1,0.233451643538621,0.05,"all"
"BRR",2,0.234275748223292,0.05,"all"
"BRR",3,0.232442077099553,0.05,"all"
"BRR",4,0.232981760973344,0.05,"all"
"BRR",5,0.233697665212765,0.05,"all"
"BRR",6,0.232843634982751,0.05,"all"
"BRR",7,0.233017417630894,0.05,"all"
"BRR",8,0.231552140107786,0.05,"all"
"BRR",9,0.231510375916838,0.05,"all"
"BRR",10,0.234572249093514,0.05,"all"
"EGBLUP",1,0.228423478079172,0.05,"all"
"EGBLUP",2,0.230445726404616,0.05,"all"
"EGBLUP",3,0.230025759625914,0.05,"all"
"EGBLUP",4,0.230496961289606,0.05,"all"
"EGBLUP",5,0.231155158207471,0.05,"all"
"EGBLUP",6,0.226262749245274,0.05,"all"
"EGBLUP",7,0.230154654082886,0.05,"all"
"EGBLUP",8,0.229686084680784,0.05,"all"
"EGBLUP",9,0.227460855545685,0.05,"all"
